year_month,direction,sex,age,estimate
2018-01,Arrivals,Female,0-4 years,435
2018-02,Arrivals,Female,0-4 years,304
2018-03,Arrivals,Female,0-4 years,406.992
2018-04,Arrivals,Female,0-4 years,295.358
2018-05,Arrivals,Female,0-4 years,290.246
2018-06,Arrivals,Female,0-4 years,322.196
2018-07,Arrivals,Female,0-4 years,310.586
2018-08,Arrivals,Female,0-4 years,407.58
2018-09,Arrivals,Female,0-4 years,377.744
2018-10,Arrivals,Female,0-4 years,395.948
2018-11,Arrivals,Female,0-4 years,405.348
2018-12,Arrivals,Female,0-4 years,529.576
2019-01,Arrivals,Female,0-4 years,413.946
2019-02,Arrivals,Female,0-4 years,369.304
2019-03,Arrivals,Female,0-4 years,370.1
2019-04,Arrivals,Female,0-4 years,284.728
2019-05,Arrivals,Female,0-4 years,312.322
2018-01,Arrivals,Male,0-4 years,472
2018-02,Arrivals,Male,0-4 years,389
2018-03,Arrivals,Male,0-4 years,418.836
2018-04,Arrivals,Male,0-4 years,333.352
2018-05,Arrivals,Male,0-4 years,326.778
2018-06,Arrivals,Male,0-4 years,343.472
2018-07,Arrivals,Male,0-4 years,374.536
2018-08,Arrivals,Male,0-4 years,446.3
2018-09,Arrivals,Male,0-4 years,405.78
2018-10,Arrivals,Male,0-4 years,429.426
2018-11,Arrivals,Male,0-4 years,399.8
2018-12,Arrivals,Male,0-4 years,545.174
2019-01,Arrivals,Male,0-4 years,479.264
2019-02,Arrivals,Male,0-4 years,398.512
2019-03,Arrivals,Male,0-4 years,394.63
2019-04,Arrivals,Male,0-4 years,302.346
2019-05,Arrivals,Male,0-4 years,335.56
2018-01,Arrivals,Female,10-14 years,519
2018-02,Arrivals,Female,10-14 years,201
2018-03,Arrivals,Female,10-14 years,216.798
2018-04,Arrivals,Female,10-14 years,211.454
2018-05,Arrivals,Female,10-14 years,169.37
2018-06,Arrivals,Female,10-14 years,220.214
2018-07,Arrivals,Female,10-14 years,349.112
2018-08,Arrivals,Female,10-14 years,245.384
2018-09,Arrivals,Female,10-14 years,224.4
2018-10,Arrivals,Female,10-14 years,240.69
2018-11,Arrivals,Female,10-14 years,214.838
2018-12,Arrivals,Female,10-14 years,483.152
2019-01,Arrivals,Female,10-14 years,596.522
2019-02,Arrivals,Female,10-14 years,265.81
2019-03,Arrivals,Female,10-14 years,213.284
2019-04,Arrivals,Female,10-14 years,259.472
2019-05,Arrivals,Female,10-14 years,204.398
2018-01,Arrivals,Male,10-14 years,559
2018-02,Arrivals,Male,10-14 years,213
2018-03,Arrivals,Male,10-14 years,188.228
2018-04,Arrivals,Male,10-14 years,237.906
2018-05,Arrivals,Male,10-14 years,185.512
2018-06,Arrivals,Male,10-14 years,232.672
2018-07,Arrivals,Male,10-14 years,413.68
2018-08,Arrivals,Male,10-14 years,272.052
2018-09,Arrivals,Male,10-14 years,221.25
2018-10,Arrivals,Male,10-14 years,296.44
2018-11,Arrivals,Male,10-14 years,212.452
2018-12,Arrivals,Male,10-14 years,545.184
2019-01,Arrivals,Male,10-14 years,667.406
2019-02,Arrivals,Male,10-14 years,253.696
2019-03,Arrivals,Male,10-14 years,227.852
2019-04,Arrivals,Male,10-14 years,275.12
2019-05,Arrivals,Male,10-14 years,225.45
2018-01,Arrivals,Female,15-19 years,788
2018-02,Arrivals,Female,15-19 years,575
2018-03,Arrivals,Female,15-19 years,262.942
2018-04,Arrivals,Female,15-19 years,313.02
2018-05,Arrivals,Female,15-19 years,231.448
2018-06,Arrivals,Female,15-19 years,269.854
2018-07,Arrivals,Female,15-19 years,836.688
2018-08,Arrivals,Female,15-19 years,340.03
2018-09,Arrivals,Female,15-19 years,298.972
2018-10,Arrivals,Female,15-19 years,334.704
2018-11,Arrivals,Female,15-19 years,265.896
2018-12,Arrivals,Female,15-19 years,443.016
2019-01,Arrivals,Female,15-19 years,897.734
2019-02,Arrivals,Female,15-19 years,512.042
2019-03,Arrivals,Female,15-19 years,257.492
2019-04,Arrivals,Female,15-19 years,357.008
2019-05,Arrivals,Female,15-19 years,217.4
2018-01,Arrivals,Male,15-19 years,822
2018-02,Arrivals,Male,15-19 years,619
2018-03,Arrivals,Male,15-19 years,326.142
2018-04,Arrivals,Male,15-19 years,290.628
2018-05,Arrivals,Male,15-19 years,260.29
2018-06,Arrivals,Male,15-19 years,316.854
2018-07,Arrivals,Male,15-19 years,787.82
2018-08,Arrivals,Male,15-19 years,387.982
2018-09,Arrivals,Male,15-19 years,347.106
2018-10,Arrivals,Male,15-19 years,405.142
2018-11,Arrivals,Male,15-19 years,307.272
2018-12,Arrivals,Male,15-19 years,446.452
2019-01,Arrivals,Male,15-19 years,893.278
2019-02,Arrivals,Male,15-19 years,598.88
2019-03,Arrivals,Male,15-19 years,270.014
2019-04,Arrivals,Male,15-19 years,332.062
2019-05,Arrivals,Male,15-19 years,257.638
2018-01,Arrivals,Female,20-24 years,791
2018-02,Arrivals,Female,20-24 years,1328
2018-03,Arrivals,Female,20-24 years,773.538
2018-04,Arrivals,Female,20-24 years,568.576
2018-05,Arrivals,Female,20-24 years,715.178
2018-06,Arrivals,Female,20-24 years,685.45
2018-07,Arrivals,Female,20-24 years,1004.466
2018-08,Arrivals,Female,20-24 years,754.882
2018-09,Arrivals,Female,20-24 years,859.416
2018-10,Arrivals,Female,20-24 years,712.008
2018-11,Arrivals,Female,20-24 years,838.652
2018-12,Arrivals,Female,20-24 years,821.07
2019-01,Arrivals,Female,20-24 years,882.892
2019-02,Arrivals,Female,20-24 years,1228.44
2019-03,Arrivals,Female,20-24 years,711.072
2019-04,Arrivals,Female,20-24 years,480.166
2019-05,Arrivals,Female,20-24 years,590.078
2018-01,Arrivals,Male,20-24 years,764
2018-02,Arrivals,Male,20-24 years,1361
2018-03,Arrivals,Male,20-24 years,770.778
2018-04,Arrivals,Male,20-24 years,499.508
2018-05,Arrivals,Male,20-24 years,619.176
2018-06,Arrivals,Male,20-24 years,626.534
2018-07,Arrivals,Male,20-24 years,1076.066
2018-08,Arrivals,Male,20-24 years,669.56
2018-09,Arrivals,Male,20-24 years,764.888
2018-10,Arrivals,Male,20-24 years,711.236
2018-11,Arrivals,Male,20-24 years,747.058
2018-12,Arrivals,Male,20-24 years,680.082
2019-01,Arrivals,Male,20-24 years,751.19
2019-02,Arrivals,Male,20-24 years,1365.862
2019-03,Arrivals,Male,20-24 years,676.184
2019-04,Arrivals,Male,20-24 years,484.134
2019-05,Arrivals,Male,20-24 years,575.578
2018-01,Arrivals,Female,25-29 years,1304
2018-02,Arrivals,Female,25-29 years,1357
2018-03,Arrivals,Female,25-29 years,1202.598
2018-04,Arrivals,Female,25-29 years,894.594
2018-05,Arrivals,Female,25-29 years,1032.086
2018-06,Arrivals,Female,25-29 years,953.052
2018-07,Arrivals,Female,25-29 years,1087.478
2018-08,Arrivals,Female,25-29 years,1156.288
2018-09,Arrivals,Female,25-29 years,1240.576
2018-10,Arrivals,Female,25-29 years,1311.768
2018-11,Arrivals,Female,25-29 years,1327.272
2018-12,Arrivals,Female,25-29 years,1307.694
2019-01,Arrivals,Female,25-29 years,1205.348
2019-02,Arrivals,Female,25-29 years,1281.602
2019-03,Arrivals,Female,25-29 years,1074.208
2019-04,Arrivals,Female,25-29 years,776.794
2019-05,Arrivals,Female,25-29 years,899.056
2018-01,Arrivals,Male,25-29 years,1073
2018-02,Arrivals,Male,25-29 years,1271
2018-03,Arrivals,Male,25-29 years,1123.368
2018-04,Arrivals,Male,25-29 years,765.612
2018-05,Arrivals,Male,25-29 years,850.154
2018-06,Arrivals,Male,25-29 years,808.13
2018-07,Arrivals,Male,25-29 years,1080.596
2018-08,Arrivals,Male,25-29 years,992.032
2018-09,Arrivals,Male,25-29 years,1064.9
2018-10,Arrivals,Male,25-29 years,1099.66
2018-11,Arrivals,Male,25-29 years,1220.378
2018-12,Arrivals,Male,25-29 years,1094.038
2019-01,Arrivals,Male,25-29 years,1088.1
2019-02,Arrivals,Male,25-29 years,1303.836
2019-03,Arrivals,Male,25-29 years,995.564
2019-04,Arrivals,Male,25-29 years,738.766
2019-05,Arrivals,Male,25-29 years,838.248
2018-01,Arrivals,Female,30-34 years,821
2018-02,Arrivals,Female,30-34 years,818
2018-03,Arrivals,Female,30-34 years,765.318
2018-04,Arrivals,Female,30-34 years,578.114
2018-05,Arrivals,Female,30-34 years,585.094
2018-06,Arrivals,Female,30-34 years,624.816
2018-07,Arrivals,Female,30-34 years,694.428
2018-08,Arrivals,Female,30-34 years,722.584
2018-09,Arrivals,Female,30-34 years,743.352
2018-10,Arrivals,Female,30-34 years,788.87
2018-11,Arrivals,Female,30-34 years,832.112
2018-12,Arrivals,Female,30-34 years,958.574
2019-01,Arrivals,Female,30-34 years,891.364
2019-02,Arrivals,Female,30-34 years,809.396
2019-03,Arrivals,Female,30-34 years,726.634
2019-04,Arrivals,Female,30-34 years,566.858
2019-05,Arrivals,Female,30-34 years,665.228
2018-01,Arrivals,Male,30-34 years,858
2018-02,Arrivals,Male,30-34 years,886
2018-03,Arrivals,Male,30-34 years,865.888
2018-04,Arrivals,Male,30-34 years,628.068
2018-05,Arrivals,Male,30-34 years,705.45
2018-06,Arrivals,Male,30-34 years,699.792
2018-07,Arrivals,Male,30-34 years,799.052
2018-08,Arrivals,Male,30-34 years,830.63
2018-09,Arrivals,Male,30-34 years,824.126
2018-10,Arrivals,Male,30-34 years,901.938
2018-11,Arrivals,Male,30-34 years,906.938
2018-12,Arrivals,Male,30-34 years,920.446
2019-01,Arrivals,Male,30-34 years,886.984
2019-02,Arrivals,Male,30-34 years,937.026
2019-03,Arrivals,Male,30-34 years,805.236
2019-04,Arrivals,Male,30-34 years,578.55
2019-05,Arrivals,Male,30-34 years,769.77
2018-01,Arrivals,Female,35-39 years,591
2018-02,Arrivals,Female,35-39 years,422
2018-03,Arrivals,Female,35-39 years,462.596
2018-04,Arrivals,Female,35-39 years,347.076
2018-05,Arrivals,Female,35-39 years,357.474
2018-06,Arrivals,Female,35-39 years,371.146
2018-07,Arrivals,Female,35-39 years,493.174
2018-08,Arrivals,Female,35-39 years,471.32
2018-09,Arrivals,Female,35-39 years,492.754
2018-10,Arrivals,Female,35-39 years,531.478
2018-11,Arrivals,Female,35-39 years,507.992
2018-12,Arrivals,Female,35-39 years,660.562
2019-01,Arrivals,Female,35-39 years,636.548
2019-02,Arrivals,Female,35-39 years,511.326
2019-03,Arrivals,Female,35-39 years,449.432
2019-04,Arrivals,Female,35-39 years,393.762
2019-05,Arrivals,Female,35-39 years,405.064
2018-01,Arrivals,Male,35-39 years,655
2018-02,Arrivals,Male,35-39 years,613
2018-03,Arrivals,Male,35-39 years,563.236
2018-04,Arrivals,Male,35-39 years,437.578
2018-05,Arrivals,Male,35-39 years,483.314
2018-06,Arrivals,Male,35-39 years,510.286
2018-07,Arrivals,Male,35-39 years,566.938
2018-08,Arrivals,Male,35-39 years,668.592
2018-09,Arrivals,Male,35-39 years,571.392
2018-10,Arrivals,Male,35-39 years,642.49
2018-11,Arrivals,Male,35-39 years,631.656
2018-12,Arrivals,Male,35-39 years,678.978
2019-01,Arrivals,Male,35-39 years,712.078
2019-02,Arrivals,Male,35-39 years,670.376
2019-03,Arrivals,Male,35-39 years,586.42
2019-04,Arrivals,Male,35-39 years,447.718
2019-05,Arrivals,Male,35-39 years,551.086
2018-01,Arrivals,Female,40-44 years,434
2018-02,Arrivals,Female,40-44 years,258
2018-03,Arrivals,Female,40-44 years,253.46
2018-04,Arrivals,Female,40-44 years,241.444
2018-05,Arrivals,Female,40-44 years,228.828
2018-06,Arrivals,Female,40-44 years,256.502
2018-07,Arrivals,Female,40-44 years,359.834
2018-08,Arrivals,Female,40-44 years,298.578
2018-09,Arrivals,Female,40-44 years,282.368
2018-10,Arrivals,Female,40-44 years,338.2
2018-11,Arrivals,Female,40-44 years,324.932
2018-12,Arrivals,Female,40-44 years,479.37
2019-01,Arrivals,Female,40-44 years,481.904
2019-02,Arrivals,Female,40-44 years,310.782
2019-03,Arrivals,Female,40-44 years,274.314
2019-04,Arrivals,Female,40-44 years,233.838
2019-05,Arrivals,Female,40-44 years,271.256
2018-01,Arrivals,Male,40-44 years,481
2018-02,Arrivals,Male,40-44 years,412
2018-03,Arrivals,Male,40-44 years,355.82
2018-04,Arrivals,Male,40-44 years,292.154
2018-05,Arrivals,Male,40-44 years,370.602
2018-06,Arrivals,Male,40-44 years,354.616
2018-07,Arrivals,Male,40-44 years,421.608
2018-08,Arrivals,Male,40-44 years,459.048
2018-09,Arrivals,Male,40-44 years,479.984
2018-10,Arrivals,Male,40-44 years,453.054
2018-11,Arrivals,Male,40-44 years,480.148
2018-12,Arrivals,Male,40-44 years,513.574
2019-01,Arrivals,Male,40-44 years,510.054
2019-02,Arrivals,Male,40-44 years,445.408
2019-03,Arrivals,Male,40-44 years,356.614
2019-04,Arrivals,Male,40-44 years,305.448
2019-05,Arrivals,Male,40-44 years,389.458
2018-01,Arrivals,Female,45-49 years,284
2018-02,Arrivals,Female,45-49 years,175
2018-03,Arrivals,Female,45-49 years,166.722
2018-04,Arrivals,Female,45-49 years,176.498
2018-05,Arrivals,Female,45-49 years,162.346
2018-06,Arrivals,Female,45-49 years,161.484
2018-07,Arrivals,Female,45-49 years,226.188
2018-08,Arrivals,Female,45-49 years,192.084
2018-09,Arrivals,Female,45-49 years,191.576
2018-10,Arrivals,Female,45-49 years,245.6
2018-11,Arrivals,Female,45-49 years,240.678
2018-12,Arrivals,Female,45-49 years,392.066
2019-01,Arrivals,Female,45-49 years,312.77
2019-02,Arrivals,Female,45-49 years,206.962
